Price,Close,High,Low,Open,Volume
Ticker,AGQ,AGQ,AGQ,AGQ,AGQ
Date,,,,,
2010-01-01,102.63999938964844,139.17999267578125,100.12000274658203,119.27999877929688,4663000
2010-02-01,103.72000122070312,109.91999816894531,83.0999984741211,104.05999755859375,6674750
2010-03-01,115.54000091552734,118.9800033569336,103.33999633789062,104.87999725341797,6062600
2010-04-01,129.89999389648438,131.8800048828125,116.45999908447266,121.69999694824219,3674250
2010-05-01,124.18000030517578,145.4199981689453,108.5999984741211,132.33999633789062,6217150
2010-06-01,125.33999633789062,135.94000244140625,109.69999694824219,126.23999786376953,4245350
2010-07-01,115.4800033569336,123.22000122070312,108.9000015258789,123.0199966430664,3438600
2010-08-01,132.39999389648438,133.4199981689453,113.0999984741211,121.08000183105469,3329450
2010-09-01,166.52000427246094,170.55999755859375,131.63999938964844,132.83999633789062,4462800
2010-10-01,211.17999267578125,211.17999267578125,168.22000122070312,170.0800018310547,7289150
2010-11-01,266.6199951171875,295.1000061035156,197.5399932861328,214.24000549316406,16185250
2010-12-01,317.17999267578125,318.67999267578125,262.2799987792969,272.8599853515625,11762350
2011-01-01,257.5199890136719,322.8999938964844,233.5399932861328,319.9200134277344,11660900
2011-02-01,372.5199890136719,374.6400146484375,254.13999938964844,263.17999267578125,10838850
2011-03-01,450.17999267578125,462.9200134277344,348.3599853515625,383.17999267578125,15040300
2011-04-01,717.9199829101562,764.1599731445312,435.2799987792969,441.1199951171875,26527400
2011-05-01,414.3999938964844,698.4199829101562,305.0799865722656,632.5999755859375,44328600
2011-06-01,329.8599853515625,412.1199951171875,305.3599853515625,402.8800048828125,18159150
2011-07-01,425.6000061035156,458.79998779296875,306.1199951171875,313.79998779296875,18589550
2011-08-01,449.5799865722656,508.29998779296875,363.0,412.79998779296875,18952150
2011-09-01,207.36000061035156,490.44000244140625,193.5,448.0199890136719,16119750
2011-10-01,269.4800109863281,286.3599853515625,192.8800048828125,223.72000122070312,16160775
2011-11-01,242.44000244140625,283.7200012207031,212.0,241.9600067138672,11183550
2011-12-01,166.60000610351562,250.52000427246094,153.0,244.63999938964844,12530700
2012-01-01,236.32000732421875,248.36000061035156,177.67999267578125,179.83999633789062,10967700
2012-02-01,251.52000427246094,298.6000061035156,228.60000610351562,246.0,13711625
2012-03-01,217.83999633789062,267.7200012207031,202.63999938964844,254.44000244140625,12863150
2012-04-01,199.72000122070312,231.1999969482422,186.0,219.83999633789062,8611575
2012-05-01,158.0,203.44000244140625,147.52000427246094,202.27999877929688,8818450
2012-06-01,152.52000427246094,182.16000366210938,137.8000030517578,163.83999633789062,8527325
2012-07-01,156.39999389648438,163.36000061035156,141.52000427246094,152.52000427246094,5649000
2012-08-01,200.16000366210938,200.24000549316406,145.1999969482422,148.72000122070312,7032850
2012-09-01,233.39999389648438,242.52000427246094,202.27999877929688,205.32000732421875,9388250
2012-10-01,202.75999450683594,242.16000366210938,193.47999572753906,237.83999633789062,5868100
2012-11-01,215.36000061035156,228.63999938964844,184.44000244140625,206.0,6678075
2012-12-01,176.39999389648438,221.0399932861328,168.16000366210938,217.55999755859375,6987350
2013-01-01,187.83999633789062,200.55999755859375,166.72000122070312,188.67999267578125,7002325
2013-02-01,153.16000366210938,195.36000061035156,151.16000366210938,194.8000030517578,7097750
2013-03-01,151.0,162.0800018310547,148.39999389648438,154.36000061035156,5317225
2013-04-01,106.87999725341797,148.0800018310547,94.12000274658203,147.32000732421875,11666600
2013-05-01,88.4000015258789,107.80000305175781,83.55999755859375,100.0,10687725
2013-06-01,68.0,94.63999938964844,60.040000915527344,90.31999969482422,11107000
2013-07-01,69.08000183105469,74.76000213623047,61.84000015258789,68.23999786376953,9728325
2013-08-01,95.4000015258789,106.08000183105469,66.08000183105469,68.80000305175781,11909875
2013-09-01,80.19999694824219,103.5999984741211,77.44000244140625,103.44000244140625,10451150
2013-10-01,81.16000366210938,89.91999816894531,72.5199966430664,75.0,10374975
2013-11-01,67.08000183105469,81.31999969482422,64.87999725341797,80.91999816894531,5940325
2013-12-01,63.040000915527344,70.04000091552734,59.880001068115234,64.4800033569336,8913225
2014-01-01,60.84000015258789,70.5199966430664,60.5,67.31999969482422,13217225
2014-02-01,73.62999725341797,80.7699966430664,61.72999954223633,62.029998779296875,11922300
